algorithm,repeat,K,status,T,T0,H,Cost_n,target_cost,non_target_total_cost,non_target_avg_cost,S_T,normalized_cost,z_star,allocation_json,n_1,n_2,n_3,n_4,n_5,n_6,n_7,n_8,n_9,n_10,n_11,n_12,n_13,n_14,n_15,n_16,n_17,n_18,n_19,n_20,n_21,n_22,n_23,n_24,n_25,n_26,n_27,n_28,n_29,n_30,n_31,n_32,n_33,n_34,n_35,n_36,n_37,n_38,n_39,n_40,n_41,n_42,n_43,n_44,n_45,n_46,n_47,n_48,n_49,n_50
TS appendix,1,15,ok,200000,76494,123506,76419,48622,27797,1985.5,19419.6948,3.93512878483,0.179695661605,"{""n_1"": 1991, ""n_10"": 1980, ""n_11"": 1980, ""n_12"": 1980, ""n_13"": 1980, ""n_14"": 1980, ""n_15"": 48622, ""n_2"": 1991, ""n_3"": 1991, ""n_4"": 1991, ""n_5"": 1980, ""n_6"": 1991, ""n_7"": 1991, ""n_8"": 1980, ""n_9"": 1991}",1991,1991,1991,1991,1980,1991,1991,1980,1991,1980,1980,1980,1980,1980,48622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS direct,1,15,ok,200000,61373,138627,61298,38478,22820,1630,19419.6948,3.15648626981,0.19845000006,"{""n_1"": 1635, ""n_10"": 1625, ""n_11"": 1625, ""n_12"": 1625, ""n_13"": 1625, ""n_14"": 1625, ""n_15"": 38478, ""n_2"": 1635, ""n_3"": 1635, ""n_4"": 1635, ""n_5"": 1625, ""n_6"": 1635, ""n_7"": 1635, ""n_8"": 1625, ""n_9"": 1635}",1635,1635,1635,1635,1625,1635,1635,1625,1635,1625,1625,1625,1625,1625,38478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCB appendix,1,20,ok,200000,56191,143809,56091,34104,21987,1157.21052632,21374.1398084,2.62424595809,0.145677313851,"{""n_1"": 1168, ""n_10"": 1155, ""n_11"": 1155, ""n_12"": 1168, ""n_13"": 1143, ""n_14"": 1168, ""n_15"": 1155, ""n_16"": 1143, ""n_17"": 1155, ""n_18"": 1155, ""n_19"": 1130, ""n_2"": 1168, ""n_20"": 34104, ""n_3"": 1168, ""n_4"": 1168, ""n_5"": 1155, ""n_6"": 1155, ""n_7"": 1155, ""n_8"": 1155, ""n_9"": 1168}",1168,1168,1168,1168,1155,1155,1155,1155,1168,1155,1155,1168,1143,1168,1155,1143,1155,1155,1130,34104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCB direct,1,20,ok,200000,47528,152472,47428,28579,18849,992.052631579,21374.1398084,2.21894309783,0.170161059508,"{""n_1"": 1002, ""n_10"": 990, ""n_11"": 990, ""n_12"": 1002, ""n_13"": 979, ""n_14"": 1002, ""n_15"": 990, ""n_16"": 979, ""n_17"": 990, ""n_18"": 990, ""n_19"": 967, ""n_2"": 1002, ""n_20"": 28579, ""n_3"": 1002, ""n_4"": 1002, ""n_5"": 990, ""n_6"": 990, ""n_7"": 990, ""n_8"": 990, ""n_9"": 1002}",1002,1002,1002,1002,990,990,990,990,1002,990,990,1002,979,1002,990,979,990,990,967,28579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS appendix,1,20,ok,200000,85819,114181,85719,53978,31741,1670.57894737,21374.1398084,4.01040700437,0.19675507433,"{""n_1"": 1679, ""n_10"": 1669, ""n_11"": 1669, ""n_12"": 1679, ""n_13"": 1659, ""n_14"": 1679, ""n_15"": 1669, ""n_16"": 1659, ""n_17"": 1669, ""n_18"": 1669, ""n_19"": 1649, ""n_2"": 1679, ""n_20"": 53978, ""n_3"": 1679, ""n_4"": 1679, ""n_5"": 1669, ""n_6"": 1669, ""n_7"": 1669, ""n_8"": 1669, ""n_9"": 1679}",1679,1679,1679,1679,1669,1669,1669,1669,1679,1669,1669,1679,1659,1679,1669,1659,1669,1669,1649,53978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS direct,1,20,ok,200000,67231,132769,67131,41910,25221,1327.42105263,21374.1398084,3.1407579721,0.220900000056,"{""n_1"": 1335, ""n_10"": 1326, ""n_11"": 1326, ""n_12"": 1335, ""n_13"": 1317, ""n_14"": 1335, ""n_15"": 1326, ""n_16"": 1317, ""n_17"": 1326, ""n_18"": 1326, ""n_19"": 1308, ""n_2"": 1335, ""n_20"": 41910, ""n_3"": 1335, ""n_4"": 1335, ""n_5"": 1326, ""n_6"": 1326, ""n_7"": 1326, ""n_8"": 1326, ""n_9"": 1335}",1335,1335,1335,1335,1326,1326,1326,1326,1335,1326,1326,1335,1317,1335,1326,1317,1326,1326,1308,41910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCB appendix,1,30,ok,200000,66404,133596,66254,40008,26246,905.034482759,24467.282261,2.70786102409,0.166694373509,"{""n_1"": 914, ""n_10"": 904, ""n_11"": 914, ""n_12"": 882, ""n_13"": 904, ""n_14"": 893, ""n_15"": 914, ""n_16"": 904, ""n_17"": 914, ""n_18"": 914, ""n_19"": 893, ""n_2"": 904, ""n_20"": 914, ""n_21"": 914, ""n_22"": 904, ""n_23"": 882, ""n_24"": 893, ""n_25"": 904, ""n_26"": 904, ""n_27"": 893, ""n_28"": 914, ""n_29"": 882, ""n_3"": 914, ""n_30"": 40008, ""n_4"": 904, ""n_5"": 914, ""n_6"": 914, ""n_7"": 914, ""n_8"": 914, ""n_9"": 914}",914,904,914,904,914,914,914,914,914,904,914,882,904,893,914,904,914,914,893,914,914,904,882,893,904,904,893,914,882,40008,,,,,,,,,,,,,,,,,,,,
UCB direct,1,30,ok,200000,54634,145366,54484,32433,22051,760.379310345,24467.282261,2.22681045728,0.194835787913,"{""n_1"": 769, ""n_10"": 759, ""n_11"": 769, ""n_12"": 739, ""n_13"": 759, ""n_14"": 749, ""n_15"": 769, ""n_16"": 759, ""n_17"": 769, ""n_18"": 769, ""n_19"": 749, ""n_2"": 759, ""n_20"": 769, ""n_21"": 769, ""n_22"": 759, ""n_23"": 739, ""n_24"": 749, ""n_25"": 759, ""n_26"": 759, ""n_27"": 749, ""n_28"": 769, ""n_29"": 739, ""n_3"": 769, ""n_30"": 32433, ""n_4"": 759, ""n_5"": 769, ""n_6"": 769, ""n_7"": 769, ""n_8"": 769, ""n_9"": 769}",769,759,769,759,769,769,769,769,769,759,769,739,759,749,769,759,769,769,749,769,769,759,739,749,759,759,749,769,739,32433,,,,,,,,,,,,,,,,,,,,
TS appendix,1,30,ok,200000,101112,98888,100962,62556,38406,1324.34482759,24467.282261,4.12640843895,0.222643274006,"{""n_1"": 1332, ""n_10"": 1323, ""n_11"": 1332, ""n_12"": 1306, ""n_13"": 1323, ""n_14"": 1314, ""n_15"": 1332, ""n_16"": 1323, ""n_17"": 1332, ""n_18"": 1332, ""n_19"": 1314, ""n_2"": 1323, ""n_20"": 1332, ""n_21"": 1332, ""n_22"": 1323, ""n_23"": 1306, ""n_24"": 1314, ""n_25"": 1323, ""n_26"": 1323, ""n_27"": 1314, ""n_28"": 1332, ""n_29"": 1306, ""n_3"": 1332, ""n_30"": 62556, ""n_4"": 1323, ""n_5"": 1332, ""n_6"": 1332, ""n_7"": 1332, ""n_8"": 1332, ""n_9"": 1332}",1332,1323,1332,1323,1332,1332,1332,1332,1332,1323,1332,1306,1323,1314,1332,1323,1332,1332,1314,1332,1332,1323,1306,1314,1323,1323,1314,1332,1306,62556,,,,,,,,,,,,,,,,,,,,
TS direct,1,30,ok,200000,76273,123727,76123,46438,29685,1023.62068966,24467.282261,3.11121599808,0.253500000049,"{""n_1"": 1030, ""n_10"": 1023, ""n_11"": 1030, ""n_12"": 1007, ""n_13"": 1023, ""n_14"": 1015, ""n_15"": 1030, ""n_16"": 1023, ""n_17"": 1030, ""n_18"": 1030, ""n_19"": 1015, ""n_2"": 1023, ""n_20"": 1030, ""n_21"": 1030, ""n_22"": 1023, ""n_23"": 1007, ""n_24"": 1015, ""n_25"": 1023, ""n_26"": 1023, ""n_27"": 1015, ""n_28"": 1030, ""n_29"": 1007, ""n_3"": 1030, ""n_30"": 46438, ""n_4"": 1023, ""n_5"": 1030, ""n_6"": 1030, ""n_7"": 1030, ""n_8"": 1030, ""n_9"": 1030}",1030,1023,1030,1023,1030,1030,1030,1030,1030,1023,1030,1007,1023,1015,1030,1023,1030,1030,1015,1030,1030,1023,1007,1015,1023,1023,1015,1030,1007,46438,,,,,,,,,,,,,,,,,,,,
UCB appendix,1,40,ok,200000,74698,125302,74498,44731,29767,763.256410256,26929.728668,2.76638509501,0.182773790032,"{""n_1"": 753, ""n_10"": 763, ""n_11"": 773, ""n_12"": 753, ""n_13"": 773, ""n_14"": 773, ""n_15"": 763, ""n_16"": 763, ""n_17"": 773, ""n_18"": 753, ""n_19"": 763, ""n_2"": 773, ""n_20"": 773, ""n_21"": 773, ""n_22"": 773, ""n_23"": 773, ""n_24"": 763, ""n_25"": 773, ""n_26"": 763, ""n_27"": 763, ""n_28"": 773, ""n_29"": 763, ""n_3"": 773, ""n_30"": 753, ""n_31"": 763, ""n_32"": 763, ""n_33"": 763, ""n_34"": 743, ""n_35"": 743, ""n_36"": 763, ""n_37"": 773, ""n_38"": 753, ""n_39"": 723, ""n_4"": 763, ""n_40"": 44731, ""n_5"": 763, ""n_6"": 763, ""n_7"": 763, ""n_8"": 763, ""n_9"": 773}",753,773,773,763,763,763,763,763,773,763,773,753,773,773,763,763,773,753,763,773,773,773,773,763,773,763,763,773,763,753,763,763,763,743,743,763,773,753,723,44731,,,,,,,,,,
UCB direct,1,40,ok,200000,60129,139871,59929,35584,24345,624.230769231,26929.728668,2.22538447152,0.215315739971,"{""n_1"": 615, ""n_10"": 624, ""n_11"": 633, ""n_12"": 615, ""n_13"": 633, ""n_14"": 633, ""n_15"": 624, ""n_16"": 624, ""n_17"": 633, ""n_18"": 615, ""n_19"": 624, ""n_2"": 633, ""n_20"": 633, ""n_21"": 633, ""n_22"": 633, ""n_23"": 633, ""n_24"": 624, ""n_25"": 633, ""n_26"": 624, ""n_27"": 624, ""n_28"": 633, ""n_29"": 624, ""n_3"": 633, ""n_30"": 615, ""n_31"": 624, ""n_32"": 624, ""n_33"": 624, ""n_34"": 606, ""n_35"": 606, ""n_36"": 624, ""n_37"": 633, ""n_38"": 615, ""n_39"": 588, ""n_4"": 624, ""n_40"": 35584, ""n_5"": 624, ""n_6"": 624, ""n_7"": 624, ""n_8"": 624, ""n_9"": 633}",615,633,633,624,624,624,624,624,633,624,633,615,633,633,624,624,633,615,624,633,633,633,633,624,633,624,624,633,624,615,624,624,624,606,606,624,633,615,588,35584,,,,,,,,,,
TS appendix,1,40,ok,200000,113709,86291,113509,69471,44038,1129.17948718,26929.728668,4.21500719147,0.242323043148,"{""n_1"": 1121, ""n_10"": 1129, ""n_11"": 1137, ""n_12"": 1121, ""n_13"": 1137, ""n_14"": 1137, ""n_15"": 1129, ""n_16"": 1129, ""n_17"": 1137, ""n_18"": 1121, ""n_19"": 1129, ""n_2"": 1137, ""n_20"": 1137, ""n_21"": 1137, ""n_22"": 1137, ""n_23"": 1137, ""n_24"": 1129, ""n_25"": 1137, ""n_26"": 1129, ""n_27"": 1129, ""n_28"": 1137, ""n_29"": 1129, ""n_3"": 1137, ""n_30"": 1121, ""n_31"": 1129, ""n_32"": 1129, ""n_33"": 1129, ""n_34"": 1113, ""n_35"": 1113, ""n_36"": 1129, ""n_37"": 1137, ""n_38"": 1121, ""n_39"": 1096, ""n_4"": 1129, ""n_40"": 69471, ""n_5"": 1129, ""n_6"": 1129, ""n_7"": 1129, ""n_8"": 1129, ""n_9"": 1137}",1121,1137,1137,1129,1129,1129,1129,1129,1137,1129,1137,1121,1137,1137,1129,1129,1137,1121,1129,1137,1137,1137,1137,1129,1137,1129,1129,1137,1129,1121,1129,1129,1129,1113,1113,1129,1137,1121,1096,69471,,,,,,,,,,
TS direct,1,40,ok,200000,83218,116782,83018,49705,33313,854.179487179,26929.728668,3.08276407176,0.278850000044,"{""n_1"": 847, ""n_10"": 854, ""n_11"": 861, ""n_12"": 847, ""n_13"": 861, ""n_14"": 861, ""n_15"": 854, ""n_16"": 854, ""n_17"": 861, ""n_18"": 847, ""n_19"": 854, ""n_2"": 861, ""n_20"": 861, ""n_21"": 861, ""n_22"": 861, ""n_23"": 861, ""n_24"": 854, ""n_25"": 861, ""n_26"": 854, ""n_27"": 854, ""n_28"": 861, ""n_29"": 854, ""n_3"": 861, ""n_30"": 847, ""n_31"": 854, ""n_32"": 854, ""n_33"": 854, ""n_34"": 840, ""n_35"": 840, ""n_36"": 854, ""n_37"": 861, ""n_38"": 847, ""n_39"": 826, ""n_4"": 854, ""n_40"": 49705, ""n_5"": 854, ""n_6"": 854, ""n_7"": 854, ""n_8"": 854, ""n_9"": 861}",847,861,861,854,854,854,854,854,861,854,861,847,861,861,854,854,861,847,854,861,861,861,861,854,861,854,854,861,854,847,854,854,854,840,840,854,861,847,826,49705,,,,,,,,,,
UCB appendix,1,50,ok,200000,81758,118242,81508,48720,32788,669.142857143,29009.1708178,2.80973215374,0.195880720377,"{""n_1"": 681, ""n_10"": 681, ""n_11"": 681, ""n_12"": 681, ""n_13"": 681, ""n_14"": 681, ""n_15"": 672, ""n_16"": 662, ""n_17"": 672, ""n_18"": 672, ""n_19"": 662, ""n_2"": 672, ""n_20"": 662, ""n_21"": 662, ""n_22"": 672, ""n_23"": 672, ""n_24"": 672, ""n_25"": 662, ""n_26"": 681, ""n_27"": 662, ""n_28"": 681, ""n_29"": 681, ""n_3"": 662, ""n_30"": 672, ""n_31"": 681, ""n_32"": 672, ""n_33"": 672, ""n_34"": 634, ""n_35"": 662, ""n_36"": 662, ""n_37"": 672, ""n_38"": 681, ""n_39"": 672, ""n_4"": 653, ""n_40"": 662, ""n_41"": 662, ""n_42"": 643, ""n_43"": 662, ""n_44"": 662, ""n_45"": 662, ""n_46"": 662, ""n_47"": 662, ""n_48"": 653, ""n_49"": 653, ""n_5"": 681, ""n_50"": 48720, ""n_6"": 681, ""n_7"": 681, ""n_8"": 681, ""n_9"": 681}",681,672,662,653,681,681,681,681,681,681,681,681,681,681,672,662,672,672,662,662,662,672,672,672,662,681,662,681,681,672,681,672,672,634,662,662,672,681,672,662,662,643,662,662,662,662,662,653,653,48720
UCB direct,1,50,ok,200000,64627,135373,64377,37995,26382,538.408163265,29009.1708178,2.21919476446,0.23173770453,"{""n_1"": 549, ""n_10"": 549, ""n_11"": 549, ""n_12"": 549, ""n_13"": 549, ""n_14"": 549, ""n_15"": 541, ""n_16"": 532, ""n_17"": 541, ""n_18"": 541, ""n_19"": 532, ""n_2"": 541, ""n_20"": 532, ""n_21"": 532, ""n_22"": 541, ""n_23"": 541, ""n_24"": 541, ""n_25"": 532, ""n_26"": 549, ""n_27"": 532, ""n_28"": 549, ""n_29"": 549, ""n_3"": 532, ""n_30"": 541, ""n_31"": 549, ""n_32"": 541, ""n_33"": 541, ""n_34"": 507, ""n_35"": 532, ""n_36"": 532, ""n_37"": 541, ""n_38"": 549, ""n_39"": 541, ""n_4"": 524, ""n_40"": 532, ""n_41"": 532, ""n_42"": 515, ""n_43"": 532, ""n_44"": 532, ""n_45"": 532, ""n_46"": 532, ""n_47"": 532, ""n_48"": 524, ""n_49"": 524, ""n_5"": 549, ""n_50"": 37995, ""n_6"": 549, ""n_7"": 549, ""n_8"": 549, ""n_9"": 549}",549,541,532,524,549,549,549,549,549,549,549,549,549,549,541,532,541,541,532,532,532,541,541,541,532,549,532,549,549,541,549,541,541,507,532,532,541,549,541,532,532,515,532,532,532,532,532,524,524,37995
TS appendix,1,50,ok,200000,124593,75407,124343,75363,48980,999.591836735,29009.1708178,4.28633416588,0.258318711961,"{""n_1"": 1009, ""n_10"": 1009, ""n_11"": 1009, ""n_12"": 1009, ""n_13"": 1009, ""n_14"": 1009, ""n_15"": 1002, ""n_16"": 994, ""n_17"": 1002, ""n_18"": 1002, ""n_19"": 994, ""n_2"": 1002, ""n_20"": 994, ""n_21"": 994, ""n_22"": 1002, ""n_23"": 1002, ""n_24"": 1002, ""n_25"": 994, ""n_26"": 1009, ""n_27"": 994, ""n_28"": 1009, ""n_29"": 1009, ""n_3"": 994, ""n_30"": 1002, ""n_31"": 1009, ""n_32"": 1002, ""n_33"": 1002, ""n_34"": 971, ""n_35"": 994, ""n_36"": 994, ""n_37"": 1002, ""n_38"": 1009, ""n_39"": 1002, ""n_4"": 986, ""n_40"": 994, ""n_41"": 994, ""n_42"": 979, ""n_43"": 994, ""n_44"": 994, ""n_45"": 994, ""n_46"": 994, ""n_47"": 994, ""n_48"": 986, ""n_49"": 986, ""n_5"": 1009, ""n_50"": 75363, ""n_6"": 1009, ""n_7"": 1009, ""n_8"": 1009, ""n_9"": 1009}",1009,1002,994,986,1009,1009,1009,1009,1009,1009,1009,1009,1009,1009,1002,994,1002,1002,994,994,994,1002,1002,1002,994,1009,994,1009,1009,1002,1009,1002,1002,971,994,994,1002,1009,1002,994,994,979,994,994,994,994,994,986,986,75363
TS direct,1,50,ok,200000,88898,111102,88648,52440,36208,738.93877551,29009.1708178,3.05586121564,0.30070000004,"{""n_1"": 747, ""n_10"": 747, ""n_11"": 747, ""n_12"": 747, ""n_13"": 747, ""n_14"": 747, ""n_15"": 741, ""n_16"": 734, ""n_17"": 741, ""n_18"": 741, ""n_19"": 734, ""n_2"": 741, ""n_20"": 734, ""n_21"": 734, ""n_22"": 741, ""n_23"": 741, ""n_24"": 741, ""n_25"": 734, ""n_26"": 747, ""n_27"": 734, ""n_28"": 747, ""n_29"": 747, ""n_3"": 734, ""n_30"": 741, ""n_31"": 747, ""n_32"": 741, ""n_33"": 741, ""n_34"": 715, ""n_35"": 734, ""n_36"": 734, ""n_37"": 741, ""n_38"": 747, ""n_39"": 741, ""n_4"": 728, ""n_40"": 734, ""n_41"": 734, ""n_42"": 721, ""n_43"": 734, ""n_44"": 734, ""n_45"": 734, ""n_46"": 734, ""n_47"": 734, ""n_48"": 728, ""n_49"": 728, ""n_5"": 747, ""n_50"": 52440, ""n_6"": 747, ""n_7"": 747, ""n_8"": 747, ""n_9"": 747}",747,741,734,728,747,747,747,747,747,747,747,747,747,747,741,734,741,741,734,734,734,741,741,741,734,747,734,747,747,741,747,741,741,715,734,734,741,747,741,734,734,721,734,734,734,734,734,728,728,52440
UCB appendix,2,5,ok,200000,30698,169302,30673,18813,11860,2965,13464.864334,2.27800289993,0.0859775016138,"{""n_1"": 2955, ""n_2"": 2975, ""n_3"": 2955, ""n_4"": 2975, ""n_5"": 18813}",2955,2975,2955,2975,18813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCB direct,2,5,ok,200000,27923,172077,27898,17072,10826,2706.5,13464.864334,2.07191096085,0.102303379727,"{""n_1"": 2697, ""n_2"": 2716, ""n_3"": 2697, ""n_4"": 2716, ""n_5"": 17072}",2697,2716,2697,2716,17072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS appendix,2,5,ok,200000,48597,151403,48572,32124,16448,4112,13464.864334,3.60731447381,0.12225682764,"{""n_1"": 4104, ""n_2"": 4120, ""n_3"": 4104, ""n_4"": 4120, ""n_5"": 32124}",4104,4120,4104,4120,32124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS direct,2,5,ok,200000,42030,157970,42005,27647,14358,3589.5,13464.864334,3.11960068501,0.130900000074,"{""n_1"": 3582, ""n_2"": 3597, ""n_3"": 3582, ""n_4"": 3597, ""n_5"": 27647}",3582,3597,3582,3597,27647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCB appendix,2,10,ok,200000,41912,158088,41862,25664,16198,1799.77777778,16964.6660084,2.46759941983,0.113725587802,"{""n_1"": 1805, ""n_10"": 25664, ""n_2"": 1789, ""n_3"": 1789, ""n_4"": 1805, ""n_5"": 1821, ""n_6"": 1805, ""n_7"": 1821, ""n_8"": 1805, ""n_9"": 1758}",1805,1789,1789,1805,1821,1805,1821,1805,1758,25664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCB direct,2,10,ok,200000,36892,163108,36842,22387,14455,1606.11111111,16964.6660084,2.17169026385,0.132848198098,"{""n_1"": 1611, ""n_10"": 22387, ""n_2"": 1596, ""n_3"": 1596, ""n_4"": 1611, ""n_5"": 1626, ""n_6"": 1611, ""n_7"": 1626, ""n_8"": 1611, ""n_9"": 1567}",1611,1596,1596,1611,1626,1611,1626,1611,1567,22387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS appendix,2,10,ok,200000,64837,135163,64787,41859,22928,2547.55555556,16964.6660084,3.81893754748,0.157083730702,"{""n_1"": 2552, ""n_10"": 41859, ""n_2"": 2539, ""n_3"": 2539, ""n_4"": 2552, ""n_5"": 2564, ""n_6"": 2552, ""n_7"": 2564, ""n_8"": 2552, ""n_9"": 2514}",2552,2539,2539,2552,2564,2552,2564,2552,2514,41859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS direct,2,10,ok,200000,53634,146366,53584,34388,19196,2132.88888889,16964.6660084,3.15856498286,0.171750000066,"{""n_1"": 2137, ""n_10"": 34388, ""n_2"": 2125, ""n_3"": 2125, ""n_4"": 2137, ""n_5"": 2148, ""n_6"": 2137, ""n_7"": 2148, ""n_8"": 2137, ""n_9"": 2102}",2137,2125,2125,2137,2148,2137,2148,2137,2102,34388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCB appendix,2,15,ok,200000,49775,150225,49700,30356,19344,1381.71428571,19419.6948,2.55925752242,0.13177502268,"{""n_1"": 1399, ""n_10"": 1399, ""n_11"": 1386, ""n_12"": 1386, ""n_13"": 1358, ""n_14"": 1372, ""n_15"": 30356, ""n_2"": 1399, ""n_3"": 1358, ""n_4"": 1372, ""n_5"": 1399, ""n_6"": 1358, ""n_7"": 1386, ""n_8"": 1386, ""n_9"": 1386}",1399,1399,1358,1372,1399,1358,1386,1386,1386,1399,1386,1386,1358,1372,30356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCB direct,2,15,ok,200000,42847,157153,42772,25977,16795,1199.64285714,19419.6948,2.20250629274,0.154092469181,"{""n_1"": 1216, ""n_10"": 1216, ""n_11"": 1203, ""n_12"": 1203, ""n_13"": 1178, ""n_14"": 1191, ""n_15"": 25977, ""n_2"": 1216, ""n_3"": 1178, ""n_4"": 1191, ""n_5"": 1216, ""n_6"": 1178, ""n_7"": 1203, ""n_8"": 1203, ""n_9"": 1203}",1216,1216,1178,1191,1216,1178,1203,1203,1203,1216,1203,1203,1178,1191,25977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS appendix,2,15,ok,200000,76366,123634,76291,48587,27704,1978.85714286,19419.6948,3.92853753809,0.179578997978,"{""n_1"": 1993, ""n_10"": 1993, ""n_11"": 1982, ""n_12"": 1982, ""n_13"": 1960, ""n_14"": 1971, ""n_15"": 48587, ""n_2"": 1993, ""n_3"": 1960, ""n_4"": 1971, ""n_5"": 1993, ""n_6"": 1960, ""n_7"": 1982, ""n_8"": 1982, ""n_9"": 1982}",1993,1993,1960,1971,1993,1960,1982,1982,1982,1993,1982,1982,1960,1971,48587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS direct,2,15,ok,200000,61286,138714,61211,38501,22710,1622.14285714,19419.6948,3.15200628179,0.19845000006,"{""n_1"": 1635, ""n_10"": 1635, ""n_11"": 1625, ""n_12"": 1625, ""n_13"": 1605, ""n_14"": 1615, ""n_15"": 38501, ""n_2"": 1635, ""n_3"": 1605, ""n_4"": 1615, ""n_5"": 1635, ""n_6"": 1605, ""n_7"": 1625, ""n_8"": 1625, ""n_9"": 1625}",1635,1635,1605,1615,1635,1605,1625,1625,1625,1635,1625,1625,1605,1615,38501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCB appendix,2,20,ok,200000,56129,143871,56029,34085,21944,1154.94736842,21374.1398084,2.62134525657,0.14560804397,"{""n_1"": 1156, ""n_10"": 1156, ""n_11"": 1156, ""n_12"": 1156, ""n_13"": 1156, ""n_14"": 1169, ""n_15"": 1144, ""n_16"": 1156, ""n_17"": 1156, ""n_18"": 1119, ""n_19"": 1131, ""n_2"": 1169, ""n_20"": 34085, ""n_3"": 1169, ""n_4"": 1169, ""n_5"": 1169, ""n_6"": 1169, ""n_7"": 1169, ""n_8"": 1144, ""n_9"": 1131}",1156,1169,1169,1169,1169,1169,1169,1144,1131,1156,1156,1156,1156,1169,1144,1156,1156,1119,1131,34085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCB direct,2,20,ok,200000,47480,152520,47380,28522,18858,992.526315789,21374.1398084,2.21669739342,0.169856247937,"{""n_1"": 994, ""n_10"": 994, ""n_11"": 994, ""n_12"": 994, ""n_13"": 994, ""n_14"": 1005, ""n_15"": 982, ""n_16"": 994, ""n_17"": 994, ""n_18"": 959, ""n_19"": 971, ""n_2"": 1005, ""n_20"": 28522, ""n_3"": 1005, ""n_4"": 1005, ""n_5"": 1005, ""n_6"": 1005, ""n_7"": 1005, ""n_8"": 982, ""n_9"": 971}",994,1005,1005,1005,1005,1005,1005,982,971,994,994,994,994,1005,982,994,994,959,971,28522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS appendix,2,20,ok,200000,85773,114227,85673,53963,31710,1668.94736842,21374.1398084,4.00825487097,0.196709353266,"{""n_1"": 1670, ""n_10"": 1670, ""n_11"": 1670, ""n_12"": 1670, ""n_13"": 1670, ""n_14"": 1680, ""n_15"": 1660, ""n_16"": 1670, ""n_17"": 1670, ""n_18"": 1640, ""n_19"": 1650, ""n_2"": 1680, ""n_20"": 53963, ""n_3"": 1680, ""n_4"": 1680, ""n_5"": 1680, ""n_6"": 1680, ""n_7"": 1680, ""n_8"": 1660, ""n_9"": 1650}",1670,1680,1680,1680,1680,1680,1680,1660,1650,1670,1670,1670,1670,1680,1660,1670,1670,1640,1650,53963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS direct,2,20,ok,200000,67197,132803,67097,41750,25347,1334.05263158,21374.1398084,3.13916726481,0.220150000056,"{""n_1"": 1335, ""n_10"": 1335, ""n_11"": 1335, ""n_12"": 1335, ""n_13"": 1335, ""n_14"": 1344, ""n_15"": 1326, ""n_16"": 1335, ""n_17"": 1335, ""n_18"": 1308, ""n_19"": 1317, ""n_2"": 1344, ""n_20"": 41750, ""n_3"": 1344, ""n_4"": 1344, ""n_5"": 1344, ""n_6"": 1344, ""n_7"": 1344, ""n_8"": 1326, ""n_9"": 1317}",1335,1344,1344,1344,1344,1344,1344,1326,1317,1335,1335,1335,1335,1344,1326,1335,1335,1308,1317,41750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCB appendix,2,30,ok,200000,66305,133695,66155,39976,26179,902.724137931,24467.282261,2.70381480437,0.166580143653,"{""n_1"": 916, ""n_10"": 916, ""n_11"": 905, ""n_12"": 905, ""n_13"": 916, ""n_14"": 916, ""n_15"": 894, ""n_16"": 905, ""n_17"": 894, ""n_18"": 905, ""n_19"": 905, ""n_2"": 905, ""n_20"": 894, ""n_21"": 905, ""n_22"": 894, ""n_23"": 905, ""n_24"": 883, ""n_25"": 905, ""n_26"": 905, ""n_27"": 894, ""n_28"": 872, ""n_29"": 872, ""n_3"": 916, ""n_30"": 39976, ""n_4"": 916, ""n_5"": 905, ""n_6"": 905, ""n_7"": 905, ""n_8"": 916, ""n_9"": 905}",916,905,916,916,905,905,905,916,905,916,905,905,916,916,894,905,894,905,905,894,905,894,905,883,905,905,894,872,872,39976,,,,,,,,,,,,,,,,,,,,
